物件一覽表,所在地點,取得章節,功能,文字說明
左上角書架上的資料夾,3_1_1 '女主家C男房間(晚)',,線索,"這個資料夾放著我的開庭資料。哎呀，有一張紙掉出來了。
（獲得道具：一審開庭資料）"
一審開庭資料,道具欄,一,道具,目前接手的案子，右下角有用橡皮擦塗改過的痕跡，已經看不清楚了，該怎麼辦呢。
鉛筆,3_1_1 '女主家C男房間(晚)',一,道具,2B鉛筆，用來素描或是畫圖都很好用。
六法全書,3_1_1 '女主家C男房間(晚)',,X,律師必備的六法全書。這本我從大學用到現在了。
綠色抱枕,3_1_1 '女主家C男房間(晚)',,X,綠色抱枕，躺起來特別舒服。
黑膠唱片機,3_1_1 '女主家C男房間(晚)',,X,費小清的唱片。但現在不是聽黑膠的時候。
單眼相機,3_1_1 '女主家C男房間(晚)',一,X,歐西牌的單眼相機。現在沒有電了。
青鳥,3_2_1 '鳥籠青鳥區',,X,NPC一貫對話(待補)
青鳥的淚水,3_2_1 '鳥籠青鳥區',,開鎖,青鳥因悲傷而流出的淚水。
花灑,3_2_2 '鳥籠植物造景區',二,道具,一般的花灑，但是裡面沒有任何水可以澆花。(放入道具)
花苞(左),3_2_2 '鳥籠植物造景區',,X,來不及了，已經死掉了。
花苞(右),3_2_2 '鳥籠植物造景區',,開鎖,"不知道是哪一種花的花苞。還活著，但是急需灌溉。
使用道具[裝著青鳥淚水花灑]：「花苞綻放了。等等！裡面是一把鑰匙！」"
木頭櫃子,3_2_2 '鳥籠植物造景區',,X,木頭櫃子。很堅固。
錄音機,3_2_2 '鳥籠植物造景區',,X,「哥哥等等換我了！」「好阿哈哈哈~」「那妳%$@%%.....」聽起來是小孩子在玩樂，但後面就聽不清楚了...。
紙條,3_2_2 '鳥籠植物造景區',,線索,「這是需要用『感情』灌溉的花。唯有真摯的情感灌溉才能使花苞綻放。」
盆栽(左),3_2_2 '鳥籠植物造景區',,X,只是一盆普通的盆栽。
盆栽(右),3_2_2 '鳥籠植物造景區',,X,只是一盆普通的盆栽。
裝著青鳥淚水的花灑,道具欄,二,道具,用花灑裝了青鳥的眼淚。
鳥籠鑰匙,道具欄,,道具,
,,,,
小鏟子,3_3_1 '女主家客廳',三,道具,家居必備萬用小鏟子。
客廳的盆栽,3_3_1 '女主家客廳',,線索,爸爸某次心血來潮，在花市買的盆栽。
收納箱鑰匙,道具欄,三,道具,收納箱的鑰匙。
上鎖的收納箱(關),3_3_1 '女主家客廳',三,開鎖,爸爸很愛把鑰匙藏在找不到的地方，現在好了吧，自己都打不開了...。
魚缸,3_3_1 '女主家客廳',,X,家裏的魚缸。魚死得特別快，也不知道是甚麼原因。
白色沙發抱枕,3_3_1 '女主家客廳',,X,白色素色抱枕，很好躺。
單眼相機,3_4_1 '女主家C男房間晚二',四,開鎖,歐西牌的單眼相機。現在沒有電了。
西裝,3_4_1 '女主家C男房間晚二',,線索,我的西裝。剛從事務所回來，先丟在椅子上吧。
C男抽屜,3_4_1 '女主家C男房間晚二',,開鎖,"抽屜。
（獲得道具：充電器、沒電的電池）"
C男抽屜鑰匙,道具欄,四,道具,抽屜鑰匙。
沒電的電池,道具欄,四,道具,沒電的電池，需要充電了。
充電器,道具欄,四,道具、開鎖,歐西牌的充電器。
充飽電的電池,道具欄,四,道具,充飽電的電池。還不趕快裝進去單眼。
可看相片的單眼相機,道具欄,四,道具、觸發,這是那天同人展幫妹妹拍的照片。等等...他手上拿的是...。