物件一覽表,所在地點,取得章節,功能,文字說明,左下,右上
A女床,1_1_1 '雙人宿舍夜',,X,我的床。我現在不想睡覺啦！,"(0.0,0.0)","(0.17578125,0.10138888888888886)"
女主床,1_1_1 '雙人宿舍夜',一,X,孟亦安的床。很私人欸...還是先不要碰好了。,"(0.8328125,0.0)","(0.99921875,0.10972222222222228)"
窗戶,1_1_1 '雙人宿舍夜',,X,宿舍的窗戶。孟亦安常常在窗戶邊看著樓下，不知道在想甚麼...。,"(0.20703125,0.6666666666666667)","(0.8296875,0.9972222222222222)"
盆栽,1_1_1 '雙人宿舍夜',,X,是孟亦安的常春藤。你問我花語是甚麼？我怎麼會知道這種事情。,"(0.31484375,0.5333333333333333)","(0.346875,0.5986111111111111)"
書櫃的精緻相框(左下,1_1_1 '雙人宿舍夜',,X,我的相框。沒有甚麼特別的。,"(0.39375,0.22777777777777775)","(0.45390625,0.2958333333333333)"
書櫃裡的書(左上),1_1_1 '雙人宿舍夜',,X,課本。沒有甚麼特別的。,"(0.27109375,0.3833333333333333)","(0.353125,0.4902777777777778)"
A女書桌,1_1_1 '雙人宿舍夜',,切換場景,A女書桌,"(0.0,0.14583333333333337)","(0.19921875,0.5486111111111112)"
女主書桌,1_1_1 '雙人宿舍夜',,切換場景,女主書桌,"(0.82109375,0.14861111111111114)","(0.9984375,0.5319444444444444)"
揉爛的成績單,1_1_2 '女主書桌',,X,看起來是期中考的成績單，但不知道為何被揉爛了...,"(0.88046875,0.6569444444444444)","(0.946875,0.7236111111111111)"
2B鉛筆,1_1_2 '女主書桌',,X,不是考試用的筆，而且感覺用很久了。,"(0.259375,0.3902777777777777)","(0.28046875,0.4555555555555556)"
孟亦安的抽屜一,1_1_2 '女主書桌',,開鎖,打不開，應該是被鎖住了。,"(0.0,0.08333333333333337)","(0.48515625,0.2861111111111111)"
孟亦安的抽屜二,1_1_2 '女主書桌',二,切換場景,女主書桌的抽屜,"(0.0,0.08333333333333337)","(0.48515625,0.2861111111111111)"
鉛筆盒,1_1_2 '女主書桌',,X,裡面有很多原子筆。,"(0.090625,0.4097222222222222)","(0.22890625,0.5319444444444444)"
貓咪照,1_1_2 '女主書桌',,開鎖,孟亦安抱著貓。,"(0.92734375,0.7930555555555556)","(0.98125,0.8722222222222222)"
全家福,1_1_2 '女主書桌',,X,是孟亦安小時候的照片...，孟亦廷也在上頭呢...。,"(0.72265625,0.7361111111111112)","(0.878125,0.8888888888888888)"
記事本,1_1_2 '女主書桌',,開鎖,孟亦安用來整理代辦事項的記事本，但是我近視看不太清楚。,"(0.82265625,0.4986111111111111)","(0.98203125,0.6125)"
返回按鈕,1_1_2 '女主書桌',一,切換場景,雙人宿舍夜,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
返回按鈕,1_1_3 'A女書桌',一,切換場景,雙人宿舍夜,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
眼鏡,1_1_3 'A女書桌',一,道具,我的眼鏡。因為輕微近視，讀書的時候都會戴上。,"(0.65546875,0.33333333333333337)","(0.95546875,0.63333333333333337)"
課本,1_1_3 'A女書桌',,X,我都看不懂的的微積分乙課本。,"(0.059375,0.5013888888888889)","(0.2296875,0.6055555555555556)"
美工刀,1_1_3 'A女書桌',一、二,道具,我新買的，還很好用。,"(0.15671875,0.30888888888888893)","(0.25671875,0.40888888888888893)"
我(李詠晴)的筆電,1_1_3 'A女書桌',一、二,開鎖,我的筆電。上大學的時候爸爸媽媽買給我的。,"(0.365625,0.4722222222222222)","(0.62265625,0.7625)"
A女床,1_2_1 '雙人宿舍日',,X,我的床。我現在不想睡覺啦！,"(0.0,0.0)","(0.17578125,0.10138888888888886)"
女主床,1_2_1 '雙人宿舍日',二、三,X,孟亦安的床。很私人欸...還是先不要碰好了。,"(0.8328125,0.0)","(0.99921875,0.10972222222222228)"
窗戶,1_2_1 '雙人宿舍日',,X,宿舍的窗戶。孟亦安常常在窗戶邊看著樓下，不知道在想甚麼...。,"(0.20703125,0.6666666666666667)","(0.8296875,0.9972222222222222)"
盆栽,1_2_1 '雙人宿舍日',,X,是孟亦安的常春藤。你問我花語是甚麼？我怎麼會知道這種事情。,"(0.31484375,0.5333333333333333)","(0.346875,0.5986111111111111)"
書櫃的精緻相框(左下,1_2_1 '雙人宿舍日',,X,我的相框。沒有甚麼特別的。,"(0.39375,0.22777777777777775)","(0.45390625,0.2958333333333333)"
書櫃裡的書(左上),1_2_1 '雙人宿舍日',,X,課本。沒有甚麼特別的。,"(0.27109375,0.3833333333333333)","(0.353125,0.4902777777777778)"
A女書桌,1_2_1 '雙人宿舍日',,切換場景,A女書桌,"(0.0,0.14583333333333337)","(0.19921875,0.5486111111111112)"
女主書桌,1_2_1 '雙人宿舍日',,切換場景,女主書桌,"(0.82109375,0.14861111111111114)","(0.9984375,0.5319444444444444)"
返回按鈕,1_1_3 'A女書桌',二、三、四,切換場景,雙人宿舍日,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
返回按鈕,1_1_2 '女主書桌',二、三、四,切換場景,雙人宿舍日,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
CD,1_2_4 '女主書桌的抽屜',二,道具,一片CD，上頭甚麼也沒註記。說不定裡面有甚麼不能被看到的影片...？,"(0.2375,0.27222222222222225)","(0.5375,0.57222222222222225)"
「18」蠟燭,1_2_4 '女主書桌的抽屜',,X,寫著18的蠟燭。看起來是18歲的時候才會用的。,"(0.828125,0.5347222222222222)","(0.8875,0.6097222222222223)"
紙,1_2_4 '女主書桌的抽屜',,X,一張紙條，寫著承恩的生日是七月三十號，是重要的日子。,"(0.13125,0.36111111111111116)","(0.23515625,0.5486111111111112)"
社團資料下半部,1_2_4 '女主書桌的抽屜',二、三,道具、合成,孟亦安的社團資料。但一看就知道缺少了上半部。,"(0.56015625,0.4625)","(0.815625,0.7125)"
返回按鈕,1_2_4 '女主書桌的抽屜',二、三、四,切換場景,雙人宿舍日,"(0.64453125,0.08472222222222225)","(0.74921875,0.19861111111111107)"
孟亦安的宿舍抽屜鑰匙,道具欄,二,道具,這把鑰匙肯定是孟亦安的抽屜鑰匙。,,
社團資料上半部,道具欄,三,道具、合成,從行政人員美美姐那裏拿回來的社團資料上半部。,,
社團資料完整版,道具欄,,道具、觸發,,,
女主床二,1_2_1 '雙人宿舍日',四,線索,"孟亦安的手機在棉被底下！
(獲得道具:孟亦安的手機)","(0.8328125,0.0)","(0.99921875,0.10972222222222228)"
孟亦安的手機,道具欄,四,道具、解碼,女主角的手機。密碼是甚麼呢...。,,