,A室友,B曖昧男,C哥哥男,D高中閨蜜女
角色性格,個性內斂，是個沒什麼朋友的女生。平常上完課就回宿舍，因此與同為室友的女主角常常一起吃晚飯。然而，兩人雖然常常相處，但卻因兩人都相當內斂，不會主動分享心事。此外，兩人生活習慣迥異，也因此A心中不滿。,典型異男，傳統社會價值觀，個性有話直說，但不太清楚男女互動的界線。女生對他很主動他就都接受，不會主動劃清界線。,學霸、不太關心家裡，喜歡說風涼話。和妹妹沒有太多的情感交流。哥哥之所以會這樣是因為他從小學業表現就很好，所以爸媽比較不擔心、不管哥哥，因此造成哥哥與家人沒有太多的交流。,上大學之後熱衷於社交與活動，認識很多人卻都沒有交心，和自己當初的夢想有偏離。個性開朗、會主動交朋友，笑臉迎人，是正妹。
1,日常：A回到宿舍，自言自語抱怨女主角的生活習慣。（,日常：練系隊吃宵夜。,日常：家庭群組吵架，哥哥和妹妹都保持沈默。,日常：期中考完在各種群組約吃飯（其中包括高中閨蜜群，展現出D的多樣社交生活），群組中只有女主角沒回訊息。
2,現實：A發現女主角一晚沒回家，心裡嫌女主角鬧鐘又沒關。,現實：發現女主角沒有回訊息，開始慌張。,日常：讀書,吃飯時，因為D與女主感情最好，其他人問D為啥女主沒回應，此時的D欲言又止(心裡話:要是那時我沒有跟他吵架...就好了。想當初我們是這麼的好...)
3,現實：過了幾天，發現女主角都沒有回宿舍，開始有點擔心。自言自語說女主教從來不會夜不歸宿的，很奇怪。接下來後悔把鬧鐘弄壞，去買新的送女主角（要展現雖然室友會抱怨女主角，但仍然是關心的。）,現實：曖昧男開始翻訊息，尋找線索，觸發初遇回憶。,日常：吃飯,回憶（高中美好回憶）：高中時代時D幫女主角策畫了慶生的情景，一群人一起的歡樂畫面（送給女主角一個手環）。小遊戲:砸派遊戲
4,現實：把新鬧鐘放到女主角桌上，看到女主角桌面的東西，看到女主畫漫畫的草稿。,回憶：第一次宿營相遇。,現實：父母一如既往瘋狂傳法律系相關訊息，哥哥在一旁講風涼話，妹妹卻反常地表達出不耐煩的厭惡情緒。哥哥因而感到奇怪，點開訊息，觸發回憶。（觸發點：妹妹反常的回覆方式）,現實:回宿舍，D打開訊息，看到自己之前傳給女主的道歉訊息被以讀但沒回，點訊息因此進入回憶
5,點擊桌面物品：揉爛的成績單，觸發回憶,回憶：兩人越走越近。（放圈圈叉叉小遊戲）,回憶（哥哥視角）：高中女主角來問生涯規畫的問題，哥哥敷衍回答。,回憶:(大學時)開學過了一段時間，D女成為了系核，而女主沒有交到朋友，因為孤單，因此約了D。然而D因為事情很多所以放女主角鴿子。女主又在現實動態看到D女跟系上朋友出去玩，心裡很難過。
6,點擊桌面物品：蠟燭（燒到一半的1蠟燭）和 打火機，兩個放在一起會觸發回憶,回憶：兩人牽手（代表有超過普通朋友關係）,現實：（夢境）哥哥進入到一個籠子，求助無門，沒人理會,"回憶:第一次期中考完之後，女主角想要再約D，然而D還是說沒空很忙。女主角此時因壓力無處抒發，傳了一句:「喔，妳真是我的好朋友呢」(嘲諷語氣)
D女看到被嘲諷，覺得莫名其妙被女主角兇，很生氣的回應了幾句氣話。兩人關係變僵"
7,父母來電，詢問期中考狀況，順便問有無要轉系,現實：翻找女主角相關的東西。,現實：哥哥接到爸爸的訊息，要哥哥回家,"現實:D女回憶結束，認為自己似乎做錯事情了，想要找女主重修舊好，傳訊息想要約女主見面，但沒回應。
因此D女寫了小卡片，寫一寫，進入回憶:兩人一起畫漫畫"
8,"現實：繼續翻找東西，觸碰到飛天小牛逼娃娃（曖昧男送的）
回憶（女主視角）：娃娃事件。",回憶：餐廳事件（娃娃事件）,現實：回到家之後，看見爸爸鄭在沙發上睡覺，決定先去切水果,寫好後想拿給女主，傳訊息給女主，發現女主角仍沒回，因此悻悻然的跑到了學開準備讀書。然而卻在地上踢到了東西
9,現實：點擊撲克牌，觸發回憶（女主視角）：釣魚遊戲。,現實：意識到自己與其他女生的訊息有些曖昧。但不知道怎麼辦，索性開始打電動想要紓壓,現實：哥哥將水果端出來，爸爸正好起床，叫哥哥過來。,d女撿到地上的手環，室之前生日送的。觸發回憶:女主角與系上同學在學開約討論報告，其他人遲到了，但是他們沒注意到女主角，繼續說著女主角的壞話。女主角都聽在耳裡。這群系上同學進到學開後，卻又對D女偽善，人前人後差很多，讓沒有朋友的女主角更受傷。
10,現實：找東西找到凌晨，太累了回到床上睡覺,現實：隔天早上。B男因為很想女主角，因此翻了女主的臉書，發現女主的貼文中間常常跟A女有互動,現實＋回憶：哥哥在爸爸回房間後，在客廳觸發妹妹過去被罵的回憶。,D女懊悔當時沒有好好地聽女主角的心裡話，而且還對她很兇
11,現實：隔天早上，手機跳出陌生訊息，曖昧男出現，詢問女主角下落。Ａ表示他也不清楚，若Ａ有找到女主角的去處的話再通知Ｂ。,現實：想到女主角有個Ａ室友，找到女主角朋友A想要問情況。,現實＋回憶：哥哥在夢境中被淹沒,D女很難過得回到了房間，倒頭就睡。夢境超現實:進入一個很黑的空間，只看到前方有亮光，他急忙想要跑出去。然而快跑到出口後，開始出現許多惡毒的話批評自己，最後他到出口後，發現終點是自己的好朋友，無論D女說甚麼，都沒有人聽到，最後眼前一片黑暗，結束超現實。
12,現實：Ａ解開了女主角的抽屜密碼鎖（密碼是Ｂ的生日），發現了一個裝了很多明信片的小信封,現實：A跟曖昧男說沒有女主角的消息。,現實：哥哥尿褲子。換褲子小遊戲,夢境超現實:選出真正的女主角的臉。但是發現自己認不出來，原來自己已經忘記了女主角長甚麼樣子了。
13,現實：桌上的的四隻小牛模型，是牧場的紀念品，四隻小牛分別代表某月份的牧場限定款紀念品,回憶＋現實：回到宿舍桌上看到女主角的吊飾，進入到女主角回憶,現實：哥哥看到爸爸又在家庭群組罵妹妹，哥哥心中煎熬，不知如何是好,夢境超現實:當所有的臉開始說:「妳真的認不出我了嗎?」D女精神越來越錯亂之後，此時眼前主角走出來，鼓勵D女（表示女主角很注重Ｄ，女主角的心裡永遠為Ｄ留一個位子，你還願意當我朋友媽？）
14,"回憶+現實：Ｂ來電,詢問是否有女主角的地點下落",回憶＋現實：找線索猜地點2,現實：哥哥後來找爸爸吵架,現實：D女醒來，打開行事曆，意識到自己一直以來都只專注在系上的社交，忽視了以前的朋友
15,現實：寫卡片,現實：拼湊出女主角可能所在的地點。,"1現實：哥哥被趕出家門，獨自一人走在路上
2現實：哥哥被爸爸罵了一頓，但哥哥索性不理爸爸",現實：手機響起，收到動漫展訊息
16,結局：寫了一張卡片放在女主角桌上，等女主角被曖昧男找回來的時候看。（內容可以是釋出善意的東西，參見Katy寄給Taylor的橄欖枝。也可以不寫信的內涵，留開放式節局。）,結局：出發尋找女主角。,女主角打開手機，看見有一則來自哥哥的新訊息。,現實：向女主角送出動漫展消息，相約一起去